Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Ent. Value,MC Group,Sector,Change 1W,Change 1M,Change 6M,Change 3M,Change YTD,Change 1Y,Change 5Y
BL,"BlackLine, Inc.",3730384350,59.74,0.07%,Software - Application,58700,60.92,3801716350,Mid-Cap,Technology,1.76%,-5.88%,27.65%,4.59%,-1.74%,-0.18%,-4.11%
NCNO,"nCino, Inc.",3764462940,32.16,-1.08%,Software - Application,289971,,3742465940,Mid-Cap,Technology,-2.55%,-7.69%,1.66%,-12.63%,-3.19%,1.47%,
PAYO,Payoneer Global Inc.,3665981640,10.15,-1.22%,Software - Infrastructure,522052,29.37,9208955640,Mid-Cap,Technology,-2.10%,1.58%,86.23%,22.82%,2.39%,114.17%,
ALKT,"Alkami Technology, Inc.",3548549070,35.35,0.13%,Software - Application,90226,,3466264070,Mid-Cap,Technology,1.61%,-9.76%,8.05%,-7.62%,-3.76%,45.33%,
LIF,"Life360, Inc.",3443623592,46.75,1.37%,Software - Application,107487,,3284643592,Mid-Cap,Technology,13.51%,13.23%,37.88%,3.69%,11.75%,,
DOCN,"DigitalOcean Holdings, Inc.",3471198715,37.90,-0.98%,Software - Infrastructure,170277,44.92,4654718715,Mid-Cap,Technology,11.77%,7.20%,16.61%,-10.37%,12.33%,10.42%,
AVPT,"AvePoint, Inc.",3288942940,18.19,3.71%,Software - Infrastructure,531114,,3047952940,Mid-Cap,Technology,-0.34%,-1.96%,65.94%,45.44%,6.24%,119.52%,74.88%
ZI,ZoomInfo Technologies Inc.,3395919410,9.86,-0.35%,Software - Application,1839342,329.67,4624219410,Mid-Cap,Technology,-4.17%,-9.59%,-15.25%,-7.01%,-7.18%,-38.14%,
DLO,DLocal Limited,3423508093,11.87,-1.29%,Software - Infrastructure,93715,30.05,2771616093,Mid-Cap,Technology,3.62%,4.61%,53.12%,36.13%,6.75%,-30.48%,
DV,"DoubleVerify Holdings, Inc.",3324092250,19.76,-0.70%,Software - Application,312766,53.14,3055687250,Mid-Cap,Technology,1.95%,-0.30%,-0.55%,14.17%,3.59%,-50.03%,
YOU,"Clear Secure, Inc.",2313711611,23.94,-2.74%,Software - Application,878076,28.29,1765604611,Mid-Cap,Technology,-4.58%,-7.69%,23.48%,-32.69%,-7.62%,23.48%,
RNG,"RingCentral, Inc.",3066967677,34.01,-0.21%,Software - Application,318515,,4417345677,Mid-Cap,Technology,1.88%,-9.00%,3.93%,-0.06%,-2.66%,-1.05%,-82.64%
ALRM,"Alarm.com Holdings, Inc.",3050764052,61.81,0.15%,Software - Application,33753,26.60,2935692052,Mid-Cap,Technology,1.31%,-1.95%,-8.17%,15.04%,1.51%,0.23%,33.42%
TDC,Teradata Corporation,3070056000,31.89,-0.59%,Software - Infrastructure,158256,37.74,3315056000,Mid-Cap,Technology,2.99%,-0.47%,3.92%,-0.56%,2.99%,-33.17%,20.92%
BTDR,Bitdeer Technologies Group,3953942708,19.91,-3.07%,Software - Application,2965832,,3824905708,Mid-Cap,Technology,-1.44%,0.24%,86.98%,146.88%,-5.21%,220.94%,
