Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio
GTX,Garrett Motion Inc.,2018160900,9.52,0.69%,Auto Parts,210599,7.75
PRM,"Perimeter Solutions, Inc.",2034031063,13.88,-0.25%,Specialty Chemicals,459554,
OFG,OFG Bancorp,2024101800,43.91,-0.43%,Banks - Regional,112617,10.70
HLMN,Hillman Solutions Corp.,1997364560,10.25,0.84%,Tools & Accessories,142883,254.00
TMDX,"TransMedics Group, Inc.",2079806155,59.62,-3.79%,Medical Devices,578028,65.93
FL,"Foot Locker, Inc.",1977484676,21.09,1.18%,Apparel Retail,548891,
CRI,"Carter's, Inc.",1976728180,55.08,0.57%,Apparel Retail,108948,8.69
CIFR,Cipher Mining Inc.,1916411060,5.68,3.09%,Capital Markets,5035247,
ATRC,"AtriCure, Inc.",1937456142,40.14,1.62%,Medical Instruments & Supplies,123356,
IART,Integra LifeSciences Holdings Corporation,1917512975,25.14,1.18%,Medical Devices,305160,
UTZ,"Utz Brands, Inc.",1118383125,13.74,1.38%,Packaged Foods,218719,
ORLA,Orla Mining Ltd.,1932882110,5.92,-1.50%,Gold,239742,
RUN,Sunrun Inc.,1897907940,8.56,1.13%,Solar,4019432,
SPT,"Sprout Social, Inc.",1883346710,33.37,0.91%,Software - Application,139739,
ULCC,"Frontier Group Holdings, Inc.",1920169440,8.49,-0.36%,Airlines,523563,
DAN,Dana Incorporated,1931120280,13.20,-0.93%,Auto Parts,383163,
LC,LendingClub Corporation,1893411690,16.92,-0.99%,Banks - Regional,203125,36.68
BAK,Braskem S.A.,1960250365,4.85,2.75%,Chemicals,416837,
IIPR,"Innovative Industrial Properties, Inc.",1888597788,66.72,0.09%,REIT - Industrial,70581,11.86
DAVA,Endava plc,1872528114,31.71,0.48%,Software - Infrastructure,34591,199.88
TALO,Talos Energy Inc.,1882392060,10.46,,Oil & Gas Exploration & Production,288147,19.02
MQ,"Marqeta, Inc.",1878955097,3.75,0.13%,Software - Infrastructure,1472033,187.00
LZB,La-Z-Boy Incorporated,1861667280,45.35,1.05%,"Furnishings, Fixtures & Appliances",50010,15.53
